district_code,district_name,block_code,block_name,udise,name,management,category,type
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010103105,UMAKANTA ACADEMY ENG MED HS,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,1-Boys
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010103210,DAKSHIN  RAMNAGAR ENG.MED. S.B. SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010103214,UPENDRA VIDYABHABAN GIRLS' H/S,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010103304,JOYPUR (S. RAMNAGAR) JB SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010103408,JOYSUNDARI  J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010103409,DR. B.R AMBEDKAR HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010104201,HRISHIDAS COL. S.B SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010104302,PURBA ARALIA J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010104303,PURBA JOGENDRA NAGAR HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010104401,UTTAR JOGENDRANAGAR J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010104402,VIDYASAGAR UCHHATARA MADHYAMIK BALIKA VIDYALAYA,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010104501,ADARSHA COL. J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010104502,VIDYASAGAR PALLI  S.B SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010104503,NETAJI SUBASH COL. HIGH,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010104504,BIDROHI KABI NAZRUL VIDYA BHAVAN,11-State Govt. Managed,5 - Up. Pr. Secondary and Higher Sec,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010104601,BENIMADHAB VIDYAPITH ENGLISH MEDIUM  S.B,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105101,RAJNAGAR H/S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105201,ANANDA VIDYA NIKETAN  HS SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105301,BAPUJI VIDYAMANDIR HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105302,KALITILLA(BHATTAPUKUR) J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105401,ARUNDHUTI NAGAR H/S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105402,PM SHRI - ARUNDHATI NAGAR ENGLISH MEDIUM SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105601,VIVEKANANDA VIDYAMANDIR HIGH,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105701,MADHYA PRATAPGARH ADARSHA VIDYANIKETAN J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105702,NIVEDITA VIDYAPITH J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010105801,SADHUTILLA C.M.S  GIRLS' ENG.MED.HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
